"source_path","target_path","http_status","reason"
"/catalogsearch/result/?q=foto-a-video-technika+projektory+svietivost-ansi-1200lm","/vyhladavanie?q=foto-a-video-technika%20projektory%20svietivost-ansi-1200lm","301","legacy-search"
"/catalogsearch/result/?q=foto-a-video-technika+projektory+svietivost-ansi-1400lm","/vyhladavanie?q=foto-a-video-technika%20projektory%20svietivost-ansi-1400lm","301","legacy-search"
"/catalogsearch/result/?q=foto-a-video-technika+projektory+svietivost-ansi-15000lm","/vyhladavanie?q=foto-a-video-technika%20projektory%20svietivost-ansi-15000lm","301","legacy-search"
"/catalogsearch/result/?q=foto-a-video-technika+projektory+svietivost-ansi-1500lm","/vyhladavanie?q=foto-a-video-technika%20projektory%20svietivost-ansi-1500lm","301","legacy-search"
"/catalogsearch/result/?q=foto-a-video-technika+projektory+svietivost-ansi-1800lm","/vyhladavanie?q=foto-a-video-technika%20projektory%20svietivost-ansi-1800lm","301","legacy-search"
"/catalogsearch/result/?q=foto-a-video-technika+projektory+svietivost-ansi-2000lm","/vyhladavanie?q=foto-a-video-technika%20projektory%20svietivost-ansi-2000lm","301","legacy-search"
"/catalogsearch/result/?q=foto-a-video-technika+projektory+svietivost-ansi-200lm","/vyhladavanie?q=foto-a-video-technika%20projektory%20svietivost-ansi-200lm","301","legacy-search"
"/catalogsearch/result/?q=foto-a-video-technika+projektory+svietivost-ansi-2200lm","/vyhladavanie?q=foto-a-video-technika%20projektory%20svietivost-ansi-2200lm","301","legacy-search"
"/catalogsearch/result/?q=foto-a-video-technika+projektory+svietivost-ansi-2300lm","/vyhladavanie?q=foto-a-video-technika%20projektory%20svietivost-ansi-2300lm","301","legacy-search"
"/catalogsearch/result/?q=foto-a-video-technika+projektory+svietivost-ansi-2700lm","/vyhladavanie?q=foto-a-video-technika%20projektory%20svietivost-ansi-2700lm","301","legacy-search"
"/catalogsearch/result/?q=foto-a-video-technika+projektory+svietivost-ansi-3000lm","/vyhladavanie?q=foto-a-video-technika%20projektory%20svietivost-ansi-3000lm","301","legacy-search"
"/catalogsearch/result/?q=foto-a-video-technika+projektory+svietivost-ansi-3100lm","/vyhladavanie?q=foto-a-video-technika%20projektory%20svietivost-ansi-3100lm","301","legacy-search"
"/catalogsearch/result/?q=foto-a-video-technika+projektory+svietivost-ansi-3200lm","/vyhladavanie?q=foto-a-video-technika%20projektory%20svietivost-ansi-3200lm","301","legacy-search"
"/catalogsearch/result/?q=foto-a-video-technika+projektory+svietivost-ansi-3300lm","/vyhladavanie?q=foto-a-video-technika%20projektory%20svietivost-ansi-3300lm","301","legacy-search"
"/catalogsearch/result/?q=foto-a-video-technika+projektory+svietivost-ansi-3500lm","/vyhladavanie?q=foto-a-video-technika%20projektory%20svietivost-ansi-3500lm","301","legacy-search"
"/catalogsearch/result/?q=foto-a-video-technika+projektory+svietivost-ansi-3600lm","/vyhladavanie?q=foto-a-video-technika%20projektory%20svietivost-ansi-3600lm","301","legacy-search"
"/catalogsearch/result/?q=foto-a-video-technika+projektory+svietivost-ansi-3800lm","/vyhladavanie?q=foto-a-video-technika%20projektory%20svietivost-ansi-3800lm","301","legacy-search"
"/catalogsearch/result/?q=foto-a-video-technika+projektory+svietivost-ansi-4200lm","/vyhladavanie?q=foto-a-video-technika%20projektory%20svietivost-ansi-4200lm","301","legacy-search"
"/catalogsearch/result/?q=foto-a-video-technika+projektory+svietivost-ansi-4400lm","/vyhladavanie?q=foto-a-video-technika%20projektory%20svietivost-ansi-4400lm","301","legacy-search"
